id,period,higher_challenge,challenge_score,description
25--1,2025-04,1,2,deletion-correcting code constructions. an llm-guided funsearch adaptation recovered a function constructing the conjectured-optimal varshamov--tenengolts code for one deletion and improved prior finite constructions for multiple deletions and quaternary edit channels. proved construction and improved finite codes . the single-deletion construction is proved; the multi-deletion results are explicit computational constructions rather than a general theorem. \\
25--2,2025-05,0,0,"alphaevolve mathematics portfolio. the first public announcement reported new solutions or improved constructions across more than 50 open mathematical problems, including a 48-scalar-multiplication algorithm for complex matrices; later technical reports expanded the portfolio. improved algorithms and bounds . counted once at first public report; later papers are supporting documentation, not additional monthly entries. \\"
25--3,2025-08,0,1,"-evolve cap-set and shannon-capacity constructions. a larger partial admissible set raised the cap-set constant lower bound to , while an independent set of size 19,946 in raised the corresponding shannon-capacity lower bound. improved lower bounds . explicit finite constructions in a technical preprint; grouped as one system-paper result package. \\"
25--4,2025-08,0,0,"three-player approximate nash equilibrium. legone discovered a polynomial-time algorithm improving the worst-case guarantee from to , beyond the previously known multiplayer extension technique. improved algorithm and guarantee . the symbolic certificate establishes the worst-case guarantee. \\"
25--10,2025-09,0,1,optimality of black-box amplification in qma. doubly exponential completeness amplification is optimal for polynomial-resource black-box procedures. gpt-5 supplied a resolvent-trace idea used as a key technical step. proved lower bound . conventional expert-authored preprint; a coauthor publicly documented the model's role. \\
25--5,2025-09,0,0,"quantitative malliavin--stein fourth-moment bounds. gpt-5 extended qualitative fourth-moment results to explicit convergence rates in gaussian and poisson settings, addressing a question the authors report had not previously been treated. proved quantitative bounds . expert-authored paper; no proof-assistant formalization. \\"
25--6,2025-09,0,0,circle packing by sample-efficient program evolution. shinkaevolve reported a new best-known circle-packing construction using only 150 candidate samples. improved construction . computationally evaluated construction in an open-source system paper. \\
25--7,2025-09,1,2,"g""odel test, problem 2. gpt-5 derived a different approximation guarantee that refuted the authors' proposed conjecture while giving a valid replacement result. counterexample and theorem . the authors checked the derivation and document both successes and failures. \\"
25--8,2025-09,0,1,"certification on random regular graphs. near-optimal upper and conditional lower bounds were obtained for certifying max-cut and max-independent set on random 3- and 4-regular graphs, using nearly extremal ramanujan graphs found by alphaevolve. sharper bounds . expert-authored proof with explicit ai-generated constructions and verification procedures. \\"
25--9,2025-09,0,0,max- -cut inapproximability. new gadget reductions improve np-hardness-of-approximation factors for max-4-cut and the best gadget-based factor for max-3-cut reported by the paper. improved hardness results . the reductions and soundness arguments are checked by the authors. \\
25--11,2025-10,1,2,"majority optimality in nicd with erasures. a five-bit unbiased boolean function beats five-bit majority at erasure probability , disproving the proposed optimality of majority. counterexample . the note verifies the finite computation step by step by hand. \\"
25--12,2025-10,0,1,"point convergence of nesterov acceleration. the standard accelerated gradient method has point convergence in the paper's convex smooth setting, resolving a question open since the method's introduction. proved . expert-authored preprint with a documented elicitation process. \\"
25--13,2025-11,1,2,"erdos problem 848. for sufficiently large , the extremal family of integers whose pairwise sums are never squarefree has the asserted maximum size, with near-uniqueness of the extremizers. proved . complete expert-written proof. \\"
25--14,2025-11,1,2,"follow-the-leader for nested convex-body chasing. the minimum-norm rule can incur arbitrarily large cost even in two dimensions, so its competitive ratio is infinite. counterexample . human expert corrected minor inaccuracies and presented the proof. \\"
25--15,2025-11,1,2,"convex-body chasing lower bounds. a cleaner and stronger lower-bound construction for arbitrary online algorithms was obtained, with a higher-dimensional extension by orthogonal decomposition. improved bound . expert-written proof documenting useful and failed attempts. \\"
25--16,2025-11,0,1,second tree-profile inequality. the remaining open inequality among the first two conjectured faces for induced five-vertex subtree counts is true. proved . ai-generated proof with expert checking and editorial rewriting. \\
25--17,2025-11,0,0,"identifiability in a dynamic random network. in an attractiveness-weighted preferential-attachment tree, the hidden parameter is identifiable from one large unlabelled tree through the limiting fraction of leaves. proved . humans filled routine stochastic-approximation details. \\"
25--18,2025-11,0,1,thetaevolve open-problem portfolio. a single open-source 8b model improved reported bounds on circle packing and the first autocorrelation inequality. two improved bounds . aggregate portfolio entry supported by released code and a technical report. \\
25--19,2025-12,0,0,"grover-compatible manifold optimization. a human--ai workflow identified invariant subspaces, constructed compatible retractions, and established convergence guarantees for a retraction-based gradient method. theory and convergence results . human authors refined outputs into precise statements and rigorous proofs. \\"
25--20,2025-12,1,2,"extremal descendant integrals. for pure -class intersection numbers on , the minimum occurs when all but one exponent vanish, while balanced exponent vectors maximize the value. proved , with partial . the paper exposes prompts, attribution, and a partial lean development. \\"
21,2026-02,1,2,fel's syzygy conjecture. the normalized alternating syzygy power sums of a numerical semigroup satisfy fel's explicit formula in terms of gap power sums and universal symmetric polynomials. proved +. fully formalized in lean/mathlib and presented in a mathematical paper. \\
22,2026-02,0,1,"parity of -differentials in genus zero and one. the number-theoretic hypothesis underlying the previously conditional spin-parity classification is true, making the geometric result unconditional. proved with on the key combinatorial identity. the paper does not claim full end-to-end formalization of every geometric step. \\"
23,2026-02,1,2,"dead ends in square-free digit walks. for every base , the asymptotic dead-end density exists and has a finite alternating euler-product formula; in base ten it is about . proved +. fully formalized in lean/mathlib. \\"
24,2026-02,1,2,"partial regularity of primes. for every , a density-one subset of primes is partially regular through the range , with a partial vandiver consequence. proved +. main theorem fully formalized in lean/mathlib. \\"
13,2026-03,0,1,small prime factors of binomial coefficients. the relevant threshold for small prime divisors of has a polylogarithmic upper bound and is logarithmically large for infinitely many . bounds proved . human authors state the proofs were entirely model-generated; they digested and edited the exposition. \\
14,2026-03,1,2,"partition-resistant additive basis. there exists an additive basis of order two such that for every partition , at least one of or has unbounded gaps. counterexample / construction . model-generated proof, checked and rewritten by expert authors. \\"
15,2026-03,0,1,"prime multiples are not well distributed. for every real , the sequence of fractional parts , with prime, is not well distributed in the hlawka--petersen sense. proved . model-generated proof, checked and rewritten by expert authors. \\"
42,2026-03,0,1,"vlasov--maxwell--landau equilibrium. under the stated smoothness and decay assumptions, a steady state on the torus is a spatially uniform maxwellian, with vanishing electric field and constant magnetic field. proved +. full lean 4 development; one mathematician supervised and audited definitions. \\"
43,2026-03,1,2,"cosmic-string radiation integral. exact analytical evaluations of the core integral for arbitrary loop geometries, together with large- asymptotics, yield the gravitational-radiation power spectrum. open problem resolved . analytical paper with numerical cross-checks; not a proof-assistant formalization. \\"
16,2026-04,1,2,"ordinary lines without an ordinary clique. for the nontrivial cases of erdos problem 960, there are planar sets with no four collinear, a bipartite ordinary-line graph, and quadratically many ordinary lines, refuting the conjectured sparse behavior. disproved . human-verified and digested; all nontrivial cases addressed in the paper. \\"
17,2026-04,0,1,"uniformly small exponential sums. a randomized dyadic construction gives a real sequence with near-optimal uniform control of its exponential sums, close to clunie's lower bound. construction . model-generated, expert-checked preprint. \\"
18,2026-04,1,3,"-free critical graphs with few chords. there are arbitrarily large -free, -critical graphs in which every cycle has at most ten chords, disproving erdos problem 1091. counterexample . model found the family; human authors made a minor proof-level simplification. \\"
19,2026-04,0,1,"fewnomial erdos--tur\'an analogue. replacing polynomial degree by support size in a proposed root-discrepancy bound fails: a sparse bounded-height family has a positive real root of growing multiplicity. counterexample . model-generated, expert-checked preprint. \\"
20,2026-04,1,2,"primes of the form . for each fixed positive integer , only finitely many have prime for every coprime to . proved . model-generated proof; generalizes erdos problem 1141. \\"
3,2026-04,1,2,anderson's quasi-completeness problem. a weakly quasi-complete noetherian local ring need not be quasi-complete. counterexample +. end-to-end lean 4 proof with essentially no human involvement in solving/formalizing; separately presented in a human-verified paper. \\
1,2026-05,1,2,"planar unit-distance conjecture. there are infinitely many for which an -point planar set determines at least unit-distance pairs for some fixed , disproving the conjectured upper-order behavior. disproved +. external mathematicians checked the proof and produced a digested companion paper. preprint, but unusually strong public expert validation. \\"
10,2026-05,0,1,"boij--s""oderberg realization over graded lie algebras. the analogous realization assertion for arbitrary finite-dimensional positively graded lie algebras generated in degree one is false. disproved . explicit negative construction, human verified. \\"
11,2026-05,0,1,"optimal bend-and-break for foliations. for every rank- foliation on a normal projective variety, the optimal constant in the tangent rational-curve bend-and-break inequality is . proved . authors describe the proof as ai-generated and human verified. \\"
12,2026-05,1,2,"semifree differential graded algebras. stable tame isomorphism, quasi-isomorphism, and derived morita equivalence are all undecidable for semifree noncommutative dgas. proved undecidable . expert-authored mathematical paper; resolves half of a published low-dimensional-topology problem. \\"
25,2026-05,1,2,erdos problem 12(i). an infinite set satisfying the problem's divisibility restriction and its prescribed density condition infinitely often exists. proved +. lean proof; experts checked statement fidelity. \\
26,2026-05,1,3,"erdos problem 12(ii). the stronger companion assertion, imposing the density condition for every parameter and all sufficiently large scales, also holds. proved +. lean proof; experts checked statement fidelity. \\"
27,2026-05,0,1,"erdos problem 125. if and are the nonnegative integers using only digits in bases three and four, then has lower density zero. proved +. the system first helped expose a density misformalization; the corrected statement was then proved. \\"
28,2026-05,0,1,"erdos problem 138, variant. a formalized variant giving a bound for van der waerden numbers is proved by greedy coloring extension and a monochromatic-intersection lemma. proved +. formal variant, clearly marked as such in the source. \\"
29,2026-05,1,3,erdos problem 152. every sufficiently large sidon set has many isolated points in its sumset . proved +. lean proof; experts checked the formalization. \\
30,2026-05,1,2,"erdos problem 741(i). a positive-upper-density set admits the decomposition required by the problem, with both pieces retaining positive upper density. proved +. corrected upper-density reading; lean proof. \\"
31,2026-05,1,2,erdos problem 741(ii). there exists an additive basis of order two satisfying the problem's simultaneous bounded-gap requirements. proved +. lean proof. \\
32,2026-05,1,3,"erdos problem 846. there is an infinite planar set not expressible as a finite union of general-position sets, although every finite subset contains many non-collinear points. proved +. lean proof and expert statement review. \\"
33,2026-05,1,2,"erdos problem 26, generalized variant. a set with prescribed upper-density behavior under all natural dilations exists. proved +. the source explicitly notes that this is a more general variant rather than erdos's original wording. \\"
34,2026-05,0,1,oeis conjectures. the agent proved 44 of 492 autoformalized open conjectures after test-lemma and manual statement checks. published exemplars concern the asymptotic number of subsets of with integral average and integrality of coefficients from hankel determinants. 44 proved +. aggregate result; the paper reports manual review for correct formalization and prior-unproved status. \\
