id,period,category,confidence,rationale,alternatives,comparator,method,contribution,contribution_basis,reported_date,first_collected_date,collection_kind,strict_category,strict_proof_status_unchanged
"225","2025-02","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports improved small-k distortion bounds and near-tight 1+epsilon asymptotics for deliberating groups, plus a nonconvex optimization characterization. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2025-02-04","","unknown","incomplete","true"
"deletion-codes-2025:binary-two-deletion","2025-04","Difficult","medium","The coded source describes prior resistance at the exact target: Two-deletion binary codes at lengths 12, 13 and 16 improve prior explicit, search-based and neural constructions. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2025-04-01","","unknown","Difficult","true"
"alphaevolve-2025:matrix-4x4","2025-05","Difficult","medium","The bounded result improves the longstanding Strassen-era scalar-multiplication record for complex 4-by-4 matrices. Although it is one finite instance, a record algorithm is a positive non-routine signal; incomplete resistance documentation does not make it routine. The source pack does not establish a matched human capability or speed comparison.","Expected","Specialists in algebraic complexity designing a fixed-dimension multiplication algorithm with methods and search tools available before this result; human effort and search budgets are not quantified.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2025-05-14","","unknown","incomplete","true"
"x-evolve-2025:cap-set","2025-08","Difficult","medium","The coded source describes prior resistance at the exact target: An improved partial admissible set raises the asymptotic cap-set lower-bound constant from 2.2202 to 2.2203. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2025-08-11","","unknown","Difficult","true"
"legone-2025:three-player-nash","2025-08","Difficult","medium","The coded source describes prior resistance at the exact target: A polynomial-time algorithm improves the worst-case guarantee for approximate Nash equilibria in all three-player games from 0.6 plus delta to 0.5 plus delta. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2025-08-16","","unknown","Difficult","true"
"malliavin-stein-2025:fourth-moment","2025-09","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper proves quantitative fourth-moment bounds with explicit convergence rates in Gaussian and Poisson settings. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2025-09-03","","unknown","incomplete","true"
"shinkaevolve-2025:circle-packing-26","2025-09","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: ShinkaEvolve improves the best-known sum of radii for packing 26 circles in a unit square using about 150 evaluations. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2025-09-17","","unknown","incomplete","true"
"godel-test-2025:submodular-p-system","2025-09","Unassessed","low","The available claim summary does not support a useful human-effort judgment: For monotone submodular maximization under a p-system, the valid bicriteria dependence uses a logarithm with base 1 plus 1 over p rather than base p plus 1, refuting the authors' proposed… It is retained outside the three assessed tiers pending a focused pass.","Expected;Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2025-09-22","","unknown","incomplete","true"
"reinforced-generation-2025:random-3-regular-max-cut","2025-09","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The random 3-regular MAX-CUT certificate nearly matches the conjectured optimum, agreeing through two decimal places. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2025-09-22","","unknown","incomplete","true"
"reinforced-generation-2025:max-4-cut-hardness","2025-09","Difficult","medium","The coded source describes prior resistance at the exact target: The NP-hardness threshold for MAX-4-CUT is improved from 0.9883 to 0.987. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2025-09-22","","unknown","Difficult","true"
"qma-2025:black-box-amplification","2025-09","Difficult","medium","The coded source describes settlement of a pre-existing target: Doubly exponential completeness amplification is optimal for polynomial-resource black-box QMA amplification procedures. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2025-09-25","","unknown","incomplete","true"
"nicd-2025:majority-counterexample","2025-10","Difficult","low","The five-bit witness refutes a named conjecture, but its finite hand-checkable structure and lack of repeated exact-target attempts leave normal specialist discovery plausible.","Expected;Superhuman","A relevant probability/theoretical-computer-science specialist searching and checking five-bit Boolean functions.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2025-10-22","","unknown","incomplete","true"
"nesterov-2025:point-convergence","2025-10","Difficult","medium","The convergence result resolves a meaningful barrier, but the disclosed discovery is interdependent human-model work and not an isolated machine-versus-human experiment.","Superhuman","Optimization experts eliciting and completing proof ideas for the classical method's point convergence.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2025-10-27","","unknown","Superhuman","true"
"gpt5-science-2025:erdos-848","2025-11","Difficult","medium","The model supplied a useful density idea that mathematicians corrected and completed. This is non-routine collaborative progress, not a self-contained beyond-human proof demonstration.","Superhuman","Human additive-number-theory specialists completing the model's density idea for the ab-plus-one squarefreeness problem.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2025-11-20","","unknown","Superhuman","true"
"gpt5-science-2025:convex-body-ftl","2025-11","Unassessed","low","The available claim summary does not support a useful human-effort judgment: The minimum-norm follow-the-leader rule has unbounded competitive ratio even for nested convex-body chasing in two dimensions. It is retained outside the three assessed tiers pending a focused pass.","Expected;Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2025-11-20","","unknown","incomplete","true"
"gpt5-science-2025:convex-body-lower-bound","2025-11","Difficult","medium","The coded source describes prior resistance at the exact target: Any online algorithm for nested convex-body chasing has competitive ratio at least pi over 2 times the square root of floor d over 2. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2025-11-20","","unknown","Difficult","true"
"gpt5-science-2025:tree-profile","2025-11","Difficult","medium","The model proved the second inequality after human scaffolding through a known first inequality. That is substantial progress but leaves plausible expert-human transfer unresolved.","Superhuman","A graph-theory specialist transferring the known first tree-profile inequality's scaffolding to the second.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2025-11-20","","unknown","Superhuman","true"
"gpt5-science-2025:network-identifiability","2025-11","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: In equal-mixture attractiveness-weighted preferential-attachment trees, the limiting leaf fraction is strictly increasing in the weight and yields a consistent estimator of that weight. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2025-11-20","","unknown","incomplete","true"
"thetaevolve-2025:autocorrelation","2025-11","Difficult","medium","The coded source describes prior resistance at the exact target: A step-function construction improves the upper bound on the first autocorrelation-inequality constant from 1.503164 to 1.503133. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2025-11-28","","unknown","Difficult","true"
"human-ai-itp-2025:grover-retraction","2025-12","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: Grover-compatible retractions on invariant subspaces support a retraction-based Riemannian gradient method with proved convergence guarantees. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2025-12-10","","unknown","incomplete","true"
"extremal-descendant-2025:integrals","2025-12","Unassessed","low","The available claim summary does not support a useful human-effort judgment: For all stable genus and marking data, extremal descendant integrals are minimized by concentrated exponents and maximized by balanced exponents. It is retained outside the three assessed tiers pending a focused pass.","Expected;Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2025-12-16","","unknown","incomplete","true"
