id,period,prior_target,advance,scope,resistance,difficulty_score,category,framing_year,solution_year,age_decades,provisional,description,anchor_claim,prior_rationale,advance_rationale,scope_rationale,resistance_rationale,age_rationale,coding_confidence
25--1,2025-04,1,1,0,1,3,Difficult,,2025,,0,deletion-correcting code constructions. an llm-guided funsearch adaptation recovered a function constructing the conjectured-optimal varshamov--tenengolts code for one deletion and improved prior finite constructions for multiple deletions and quaternary edit channels. proved construction and improved finite codes . the single-deletion construction is proved; the multi-deletion results are explicit computational constructions rather than a general theorem. \\,"Two-deletion binary codes at lengths 12, 13 and 16 improve prior explicit, search-based and neural constructions.","The paper benchmarks these exact finite deletion-code targets against already published explicit constructions, combinatorial searches and neural searches.",The result improves known constructions and lower bounds but does not determine the optimal code sizes or settle the general deletion-code problem.,"The anchor concerns a small set of fixed block lengths and deletion counts, not a uniform unbounded family.",The related-work comparison documents several methodologically independent prior attacks on the same coding objective.,Not eligible for the duration override because the advance is an improvement rather than a complete settlement.,High
25--2,2025-05,1,1,0,0,2,Expected,,2025,,0,"alphaevolve mathematics portfolio. the first public announcement reported new solutions or improved constructions across more than 50 open mathematical problems, including a 48-scalar-multiplication algorithm for complex matrices; later technical reports expanded the portfolio. improved algorithms and bounds . counted once at first public report; later papers are supporting documentation, not additional monthly entries. \\","AlphaEvolve gives a 48-scalar-multiplication algorithm for multiplying 4 by 4 complex matrices, improving the Strassen-era record.",The scalar-multiplication count for this fixed matrix product is a public optimization target with Strassen's construction as the longstanding benchmark.,"A better algorithm lowers the upper bound, but the paper does not prove that 48 multiplications are optimal.",The anchor is one fixed matrix dimension and one computational object.,The available evidence clearly establishes the Strassen baseline but does not document two independent prior attempts at this exact fixed target.,Not eligible for the duration override because the advance is not an optimality proof or complete settlement.,Medium-high
25--3,2025-08,1,1,1,1,4,Difficult,,2025,,0,"-evolve cap-set and shannon-capacity constructions. a larger partial admissible set raised the cap-set constant lower bound to , while an independent set of size 19,946 in raised the corresponding shannon-capacity lower bound. improved lower bounds . explicit finite constructions in a technical preprint; grouped as one system-paper result package. \\",An improved partial admissible set raises the asymptotic cap-set lower-bound constant from 2.2202 to 2.2203.,Improving the published asymptotic cap-set construction constant was an explicit public target before this work.,The construction improves the best lower bound but neither determines the sharp constant nor closes the cap-set problem.,The bound applies asymptotically over an unbounded sequence of dimensions.,"The paper records a sequence of independent published improvements, including constants 2.2101, 2.2173, 2.2180 and 2.2202, on the same target.","Not eligible for the duration override because the advance is a record improvement, not a complete solution.",High
25--4,2025-08,1,1,1,1,4,Difficult,,2025,,0,"three-player approximate nash equilibrium. legone discovered a polynomial-time algorithm improving the worst-case guarantee from to , beyond the previously known multiplayer extension technique. improved algorithm and guarantee . the symbolic certificate establishes the worst-case guarantee. \\",A polynomial-time algorithm improves the worst-case guarantee for approximate Nash equilibria in all three-player games from 0.6 plus delta to 0.5 plus delta.,The best polynomial-time approximation guarantee for three-player Nash equilibria was a public benchmark with an explicit prior bound.,The result materially improves that guarantee but does not prove the new factor optimal or solve exact equilibrium computation.,The theorem is uniform over all three-player games and arbitrary action-set sizes.,The paper places the result after multiple distinct prior algorithms and extensions aimed at multiplayer approximate Nash equilibria.,Not eligible for the duration override because the result improves a bound rather than settling the target sharply.,Medium-high
25--10,2025-09,1,2,1,0,4,Difficult,,2025,,0,optimality of black-box amplification in qma. doubly exponential completeness amplification is optimal for polynomial-resource black-box procedures. gpt-5 supplied a resolvent-trace idea used as a key technical step. proved lower bound . conventional expert-authored preprint; a coauthor publicly documented the model's role. \\,Doubly exponential completeness amplification is optimal for polynomial-resource black-box QMA amplification procedures.,A preceding black-box construction made the attainable doubly exponential rate explicit and raised the matching optimality question publicly.,"The paper proves a matching lower bound, completing the quantitative black-box characterization rather than merely improving one side.",The lower bound quantifies over the full class of polynomial-resource black-box amplification procedures.,"The preceding construction defines the exact target, but the cited oracle-separation work addresses a broader qualitative boundary rather than a second independent attempt on this quantitative optimum.","The precise quantitative optimality target arose in 2025, so the much older qualitative perfect-completeness question cannot supply a decade-scale framing date.",High
25--5,2025-09,0,1,1,0,2,Expected,,2025,,0,"quantitative malliavin--stein fourth-moment bounds. gpt-5 extended qualitative fourth-moment results to explicit convergence rates in gaussian and poisson settings, addressing a question the authors report had not previously been treated. proved quantitative bounds . expert-authored paper; no proof-assistant formalization. \\",The paper proves quantitative fourth-moment bounds with explicit convergence rates in Gaussian and Poisson settings.,"The authors describe obtaining quantitative rates here as a direction that had not previously been addressed, rather than as an exact public conjecture.","These are material new general theorems, but they do not settle a pre-existing sharp target or provide a complete classification.",The results cover broad Gaussian and Poisson classes rather than a fixed instance.,No prior attempts on this exact quantitative target are documented because the paper presents the target as previously unaddressed.,Not eligible for the duration override because there was no precise pre-existing public target and the advance is not a complete settlement.,High
25--6,2025-09,1,1,0,0,2,Expected,,2025,,0,circle packing by sample-efficient program evolution. shinkaevolve reported a new best-known circle-packing construction using only 150 candidate samples. improved construction . computationally evaluated construction in an open-source system paper. \\,ShinkaEvolve improves the best-known sum of radii for packing 26 circles in a unit square using about 150 evaluations.,Maximizing the sum of radii for a fixed number of non-overlapping circles in a square is a public computational optimization target with a prior record.,The new packing improves the record but does not prove a matching upper bound or optimality.,The anchor is the single fixed instance with 26 circles.,The source clearly identifies a previous record but does not document two independent prior attacks on this exact fixed instance.,"Not eligible for the duration override because the result is a better construction, not a complete solution.",High
25--7,2025-09,0,2,1,0,3,Difficult,,2025,,0,"g""odel test, problem 2. gpt-5 derived a different approximation guarantee that refuted the authors' proposed conjecture while giving a valid replacement result. counterexample and theorem . the authors checked the derivation and document both successes and failures. \\","For monotone submodular maximization under a p-system, the valid bicriteria dependence uses a logarithm with base 1 plus 1 over p rather than base p plus 1, refuting the authors' proposed formula.","The conjecture was newly created and withheld by the benchmark authors, so it was not a pre-existing public target.",The response fully refutes the supplied universal conjecture and derives the corrected dependence.,The argument applies uniformly across p-systems and accuracy parameters rather than to a single instance.,"There could not have been two documented public attempts on the withheld, newly formulated conjecture.",Not eligible for the duration override because the exact target was not public before the evaluation.,Medium-high
25--8,2025-09,1,1,1,0,3,Difficult,,2025,,0,"certification on random regular graphs. near-optimal upper and conditional lower bounds were obtained for certifying max-cut and max-independent set on random 3- and 4-regular graphs, using nearly extremal ramanujan graphs found by alphaevolve. sharper bounds . expert-authored proof with explicit ai-generated constructions and verification procedures. \\","The random 3-regular MAX-CUT certificate nearly matches the conjectured optimum, agreeing through two decimal places.",Near-optimal certification for random regular graph problems was explicitly posed in the prior Kunisky-Yu framework.,The certificate substantially narrows the gap but remains near-matching rather than an exact determination of the optimum.,The statement concerns an asymptotic random-graph ensemble as the number of vertices grows.,The evidence identifies the Kunisky-Yu framework as the principal direct predecessor but does not establish two independent prior attempts on this exact certification target.,Not eligible for the duration override because the bounds are near-optimal rather than a complete settlement.,High
25--9,2025-09,1,1,1,1,4,Difficult,,2025,,0,max- -cut inapproximability. new gadget reductions improve np-hardness-of-approximation factors for max-4-cut and the best gadget-based factor for max-3-cut reported by the paper. improved hardness results . the reductions and soundness arguments are checked by the authors. \\,The NP-hardness threshold for MAX-4-CUT is improved from 0.9883 to 0.987.,Improving the published worst-case hardness factor for MAX-4-CUT was a precise public target with an explicit incumbent threshold.,The new reduction strengthens the hardness bound but does not establish the optimal approximation threshold.,The hardness statement is uniform over general MAX-4-CUT instances of unbounded size.,The paper documents multiple independent prior reductions and gadget constructions directed at the same approximation-hardness frontier.,"Not eligible for the duration override because this is a quantitative improvement, not a sharp settlement.",High
25--11,2025-10,1,2,0,0,3,Superhuman,2014,2025,1.1,0,"majority optimality in nicd with erasures. a five-bit unbiased boolean function beats five-bit majority at erasure probability , disproving the proposed optimality of majority. counterexample . the note verifies the finite computation step by step by hand. \\","At n equals 5 and erasure probability 0.40, majority is not optimal for non-interactive correlation distillation, disproving the universal majority-optimality conjecture.",The exact question of majority optimality in the erasure model appeared publicly in the 2014 Simons Real Analysis in Computer Science open-problem collection.,A verified finite counterexample completely resolves the universal conjecture in the negative.,The decisive witness is a fixed five-bit instance at one erasure probability.,The source does not document two independent prior attempts on this exact non-interactive correlation-distillation question.,"The precise public target dates to 2014 and was settled in 2025, an elapsed duration of 11 years or 1.1 decades.",High
25--12,2025-10,1,2,1,1,5,Superhuman,1983,2025,4.2,0,"point convergence of nesterov acceleration. the standard accelerated gradient method has point convergence in the paper's convex smooth setting, resolving a question open since the method's introduction. proved . expert-authored preprint with a documented elicitation process. \\","For the classical accelerated gradient method on smooth convex objectives, the iterates themselves converge, resolving the point-convergence question.",Point convergence for Nesterov's accelerated method had remained open since the method's 1983 introduction.,The theorem proves convergence of the iterates and thereby settles the longstanding question rather than improving a rate bound.,The result is uniform over the stated general class of smooth convex objectives.,"The literature reviewed in the paper contains multiple independent attempts and partial convergence results, including work beginning well before the final proof.","The exact target is traced to 1983 and was solved in 2025, an elapsed duration of 42 years or 4.2 decades.",High
25--13,2025-11,1,2,1,1,5,Superhuman,1992,2025,3.3,0,"erdos problem 848. for sufficiently large , the extremal family of integers whose pairwise sums are never squarefree has the asserted maximum size, with near-uniqueness of the extremizers. proved . complete expert-written proof. \\","For all sufficiently large N, the largest sets A in the first N integers for which ab plus 1 is never squarefree are attained by the residue class 7 modulo 25, with the stated near-uniqueness.","Erdos posed the exact extremal problem as Problem 23 in a 1992 paper, later catalogued as Erdos Problem 848.",The theorem determines the extremal construction for all sufficiently large N and supplies the corresponding structural characterization.,The conclusion holds over the unbounded family of all sufficiently large N.,"The source records distinct prior work and attempted approaches by van Doorn, Weisenberg and Cambie on the same problem.","The precise target was published in 1992 and solved in 2025, an elapsed duration of 33 years or 3.3 decades.",High
25--14,2025-11,0,2,1,0,3,Difficult,,2025,,0,"follow-the-leader for nested convex-body chasing. the minimum-norm rule can incur arbitrarily large cost even in two dimensions, so its competitive ratio is infinite. counterexample . human expert corrected minor inaccuracies and presented the proof. \\",The minimum-norm follow-the-leader rule has unbounded competitive ratio even for nested convex-body chasing in two dimensions.,The author reports formulating this natural follow-the-leader question during the project rather than inheriting an exact public conjecture.,An explicit adversarial family completely resolves that algorithmic question in the negative by forcing arbitrarily bad ratios.,"Although the dimension is fixed, the construction is an unbounded family of instances establishing a worst-case impossibility result.",No two earlier attempts on the newly formulated exact question are documented.,Not eligible for the duration override because the target was formulated in the course of the 2025 work.,High
25--15,2025-11,1,1,1,1,4,Difficult,,2025,,0,"convex-body chasing lower bounds. a cleaner and stronger lower-bound construction for arbitrary online algorithms was obtained, with a higher-dimensional extension by orthogonal decomposition. improved bound . expert-written proof documenting useful and failed attempts. \\",Any online algorithm for nested convex-body chasing has competitive ratio at least pi over 2 times the square root of floor d over 2.,"The dimension-dependent lower-bound frontier for convex-body chasing was public, with prior square-root-d and two-dimensional bounds.",The theorem strengthens the general lower bound but does not close the gap to the best upper bound or give a sharp ratio.,The result applies to arbitrary online algorithms across an unbounded range of dimensions.,"The paper builds on multiple independent lower-bound efforts, including the earlier square-root-d construction and the separate 1.5358 two-dimensional bound.",Not eligible for the duration override because this is a lower-bound improvement rather than a complete resolution.,High
25--16,2025-11,1,2,1,1,5,Superhuman,2013,2025,1.2,0,second tree-profile inequality. the remaining open inequality among the first two conjectured faces for induced five-vertex subtree counts is true. proved . ai-generated proof with expert checking and editorial rewriting. \\,"Every finite tree satisfies 29Y minus 42P minus 144S less than or equal to 504, resolving the second tree-profile inequality conjecture.",The exact second tree-profile inequality appeared in a 2013 preprint and remained open after the associated 2016 follow-up work.,"The proof establishes the conjectured inequality for every finite tree, completely settling the target.","The quantifier ranges uniformly over all finite trees, an unbounded combinatorial class.",The original tree-profile paper and a later study by a partially different author group are two distinct documented attacks that proved related cases and isolated the remaining inequality.,"The exact conjecture dates to 2013 and was proved in 2025, an elapsed duration of 12 years or 1.2 decades.",High
25--17,2025-11,1,1,1,0,3,Difficult,,2025,,0,"identifiability in a dynamic random network. in an attractiveness-weighted preferential-attachment tree, the hidden parameter is identifiable from one large unlabelled tree through the limiting fraction of leaves. proved . humans filled routine stochastic-approximation details. \\","In equal-mixture attractiveness-weighted preferential-attachment trees, the limiting leaf fraction is strictly increasing in the weight and yields a consistent estimator of that weight.",A 2012 COLT open problem publicly asked for estimation with a polynomial convergence rate and a somewhat more general mixing parameter.,"The theorem proves identifiability and consistency in the equal-mixture case, but it does not deliver the requested polynomial rate or the full parameter generality.","The statement covers an unbounded random-tree process and a range of weights, not one finite graph.",The available account does not document two independent prior attempts on the exact 2012 estimation target.,Not eligible for the duration override because the advance is a partial resolution of the older target.,High
25--18,2025-11,1,1,0,1,3,Difficult,,2025,,0,thetaevolve open-problem portfolio. a single open-source 8b model improved reported bounds on circle packing and the first autocorrelation inequality. two improved bounds . aggregate portfolio entry supported by released code and a technical report. \\,A step-function construction improves the upper bound on the first autocorrelation-inequality constant from 1.503164 to 1.503133.,Minimizing the published upper bound on this named autocorrelation constant is an explicit public optimization target.,The new witness improves the upper bound but does not determine the sharp value of the constant.,The scored advance is one finite computational witness rather than a uniform theorem over an unbounded input class.,A prior human construction and the separate AlphaEvolve construction are independent documented attacks on the same upper-bound target.,"Not eligible for the duration override because the result is a numerical record improvement, not a complete settlement.",High
