id,prior_target,advance,scope,resistance,score,category,framing_year,solution_year,age_decades,provisional,anchor_claim,prior_rationale,advance_rationale,scope_rationale,resistance_rationale,age_rationale,coding_confidence
28,1,2,1,0,4,Superhuman,1981,2026,4.5,0,"Erdos Problem 138 differences variant: W(k+1)-W(k) tends to infinity.","Erdos explicitly asked the differences question in 1981; it is an exact pre-existing target rather than a newly proposed variant.","The proved bound W(k+1) >= W(k)+k completely answers the differences question.","The conclusion is uniform for the unbounded parameter k and gives an asymptotic statement.","The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.","The exact 1981 question was settled in 2026, an elapsed 45 years or 4.5 decades.",high
29,1,2,1,1,5,Superhuman,1994,2026,3.2,0,"Erdos Problem 152: sufficiently large finite Sidon sets have arbitrarily many isolated elements in A+A.","The exact question appears in the 1994 Erdős-Sarkozy-Sos work on sumsets of Sidon sets.","The proof establishes the stronger quadratic lower bound I(A+A) >= (n^2-100n-16)/16 and therefore completely settles the target.","The theorem applies to every finite Sidon set and uniformly as its size tends to infinity.","In the disclosed controlled evaluation, Codex failed problem 152 in two 12-hour attempts; smaller Gemini agents, standalone AlphaProof, and Claude Code also failed the tested Erdős instances under stated budgets.","The 1994 target was settled in 2026, an elapsed 32 years or 3.2 decades.",high
30,1,2,1,0,4,Superhuman,1994,2026,3.2,0,"Erdos Problem 741(i): every A whose sumset has positive upper density admits a partition whose two component sumsets both have positive upper density.","The question was published in 1994; the audited target uses the upper-density reading that the source paper and problem curator identify as the intended interpretation.","The alternating-block proof gives the required decomposition for every qualifying A and completely answers the corrected target.","The result is uniform over the general class of all subsets A of the natural numbers whose sumset has positive upper density.","The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.","Using the documented 1994 formulation and its clarified upper-density reading, the elapsed time to the 2026 solution is 32 years or 3.2 decades.",High
31,1,2,1,0,4,Superhuman,1994,2026,3.2,0,"Erdos Problem 741(ii): an additive basis of order two exists for which every bipartition leaves unbounded gaps in at least one component sumset.","The exact companion question was documented in 1994 before the AI work.","The explicit forbidden-zone construction supplies the requested basis and settles the existence question.","Although one basis is constructed, the guarantee is uniform over every bipartition of that infinite basis and produces gaps of unbounded length.","The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.","The 1994 question was settled in 2026, an elapsed 32 years or 3.2 decades.",High
32,1,2,1,0,4,Superhuman,1992,2024,3.2,0,"Erdos Problem 846: an infinite planar set can satisfy the finite general-position condition without being a finite union of general-position sets.","The exact discrete-geometry question was published in 1992 and catalogued before the AI proof.","The AI-produced construction independently gives a complete counterexample, although the target also follows from a 2024 projection result.","Its guarantee ranges over finite subsets of every size and rules out every finite general-position decomposition.","The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.","The historical duration uses the first known implication in 2024: 32 years from the 1992 framing, or 3.2 decades. The 2026 AI proof is an independent explicit resolution rather than the first solution.",High
33,1,2,1,0,4,Superhuman,1995,2026,3.1,0,"Erdos Problem 26 generalized Tenenbaum variant: a divergent reciprocal sequence exists whose every positive shift generates multiples of upper density below 3/4.","The source identifies this exact stronger variant with the 1995 problem record; it predates the AI work even though it was not posed by Erdős himself.","The block-and-CRT construction proves the full existence statement for the stronger variant.","The construction satisfies the density bound uniformly for every positive integer shift k.","The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.","The documented 1995 variant was settled in 2026, an elapsed 31 years or 3.1 decades.",High
34,1,2,1,0,4,Difficult,2022,2026,0.4,0,"OEIS A051293: the number of nonempty subsets of {1,...,n} with integral average has the stated six-term asymptotic expansion.","The paper identifies the precise A051293 asymptotic as an OEIS conjecture added in 2022 and manually confirms that it was previously unproved.","The proof establishes the full conjectured asymptotic expansion, so the selected anchor target is completely settled.","The result is an asymptotic theorem uniform in the unbounded parameter n.","The 44-of-492 portfolio success rate is not target-specific evidence about A051293, and two independent prior attacks on this exact asymptotic were not documented.","The precise conjecture was added in 2022 and proved in 2026, only 0.4 decades; the sequence's earlier creation date is not used as the framing date.",High
35,1,2,1,0,4,Difficult,2019,2026,0.7,0,"Anchored gradient descent-ascent has the exact O(1/t) last-iterate convergence rate under the paper's convex-concave assumptions.","The 2019 anchored-GDA analysis supplied the prior slower bound and left the exact O(1/t) rate as the quantitative target.","A newly discovered schedule and recurrence proof attain the target rate, resolving the stated open question rather than merely checking a fixed schedule.","The guarantee is uniform across the stipulated convex-concave problem class and all iteration horizons.","The sources document prior analysis but not two independent attacks on this exact rate and do not report a controlled per-target low solve rate.","The 2019 quantitative target was reached in 2026, an elapsed seven years or 0.7 decades.",medium
36,1,1,1,0,3,Difficult,2025,2026,0.1,0,"The proposed bipartite reconstruction algorithm is correct for finite 2-connected bipartite graphs with pairwise-distinct vertex types.","AlphaEvolve experiments formulated the bipartite reconstruction variants and proposed algorithm before the AlphaProof Nexus proof; the broader classical reconstruction conjecture is not used to backdate this precise target.","The theorem proves a substantial structured subcase under an added type-distinguishability condition, while the unrestricted bipartite assertion remains open.","It applies uniformly to every finite bipartite graph satisfying the stated connectivity and type conditions.","No two independent prior attacks on this restricted algorithmic target and no controlled target-specific low solve rate are documented.","The AI-formulated target dates to the 2025 AlphaEvolve work and the restricted theorem to 2026, about 0.1 decades.",medium
37,1,2,1,0,4,Superhuman,1996,2026,3.0,0,"Graffiti leaf-bound conjecture: the maximum spanning-tree leaf count satisfies the conjectured neighborhood-independence bound.","The exact graph-theory conjecture was generated and publicly recorded by Graffiti in 1996.","The formal proof establishes the conjectured bound for the full stated class and completely settles the target.","The theorem is uniform over the general class of finite graphs covered by the conjecture.","The source establishes long duration but does not document two independent prior attacks on the exact conjecture or a controlled target-specific solve experiment.","The 1996 conjecture was settled in 2026, an elapsed 30 years or 3.0 decades.",high
38,1,2,1,0,4,Difficult,2024,2026,0.2,0,"Zanello's conjecture: every pure O-sequence of codimension three and type two is log-concave.","Zanello precisely formulated the codimension-three, type-two log-concavity conjecture in 2024.","The proof establishes log-concavity for every object in the conjectured class and closes the exact remaining case.","The conclusion ranges uniformly over all pure O-sequences of codimension three and type two and every internal index.","Earlier work proves the weaker unimodality statement, but the source does not document two independent attacks on the exact log-concavity target or a controlled low solve rate for it.","The 2024 conjecture was settled in 2026, an elapsed two years or 0.2 decades.",high
39,1,2,0,0,3,Difficult,2024,2026,0.2,1,"Green's Problem 57: the intended complex-valued equality is false, as certified by a counterexample on Z/3Z.","The exact complex-valued equality was published as Problem 57 in Green's 2024 list and clarified as the intended target.","A formally checked separating functional on the finite cyclic group Z/3Z is a complete counterexample to the universal equality.","The disproof rests on one fixed finite-group counterexample, so it does not receive the separate general-scope point.","The paper records numerical search and formal certification but not two independent prior attacks or a controlled target-level low solve rate.","Only about 0.2 decades elapsed from the 2024 list to the 2026 result; the entry is also provisional because its dedicated paper was still in preparation at the cut-off.",medium
4,1,2,0,0,3,Superhuman,2014,2026,1.2,0,"The finite-conductor property need not ascend from a G-GCD ring to its group ring over a finitely generated abelian group.","Problem 4a(i) in the 2014 Open Problems in Commutative Ring Theory volume states the exact ascent question.","The characteristic-two G-GCD/UFD construction is a counterexample and completely answers the yes-or-no target.","The result is witnessed by a particular ring and finite abelian group rather than a uniform theorem over a general class.","The cited background develops the relevant ring conditions, but two independent prior attacks on the exact ascent question are not documented and there is no controlled solve-rate evaluation.","The exact 2014 problem was resolved in 2026, an elapsed 12 years or 1.2 decades.",high
5,1,2,0,0,3,Superhuman,2014,2026,1.2,0,"The quasi-coherent property need not ascend from a G-GCD ring to its group ring over a finitely generated abelian group.","Problem 4a(ii) in the 2014 Open Problems in Commutative Ring Theory volume states the exact ascent question.","The supplied G-GCD group-ring counterexample completely disproves the universal ascent assertion.","One constructed ring-group pair witnesses failure, so the separate general-scope criterion is not met.","No controlled low-success experiment or two independent published attacks on this exact ascent problem are documented.","The exact 2014 problem was resolved in 2026, an elapsed 12 years or 1.2 decades.",high
6,1,2,0,0,3,Superhuman,2014,2026,1.2,0,"There is an integral domain D for which Int(D) admits no compatible D-D-biring structure of the specified kind.","Problem 21 in the 2014 Open Problems in Commutative Ring Theory volume asks whether the compatible biring structure always exists.","The explicit domain is a counterexample to the universal existence claim and fully resolves the problem.","The disproof uses one explicit domain rather than a uniform result across an unbounded class.","The antecedent biring characterization is documented, but not two independent attempts at this exact existence question or a controlled target-specific evaluation.","Using the conservative exact problem-list date of 2014, the 2026 resolution follows after 12 years or 1.2 decades.",high
7,1,2,1,0,4,Superhuman,2014,2026,1.2,0,"Every AGCD domain in which each nonzero t-locally principal ideal is t-invertible has finite t-character.","Problem 35 in the 2014 Open Problems in Commutative Ring Theory volume states this exact implication.","The proof establishes the implication affirmatively with no remaining condition, completely settling the target.","The theorem applies uniformly to every AGCD domain satisfying the stated ideal-theoretic hypothesis.","The proof uses earlier t-invertibility results, but the record does not establish two independent prior attempts on this exact implication or a controlled low solve rate.","The exact 2014 problem was resolved in 2026, an elapsed 12 years or 1.2 decades.",high
8,1,2,0,0,3,Superhuman,2014,2026,1.2,0,"David's three-dimensional non-Noetherian factorial domain is locally Jaffard.","Problem 37b in the 2014 Open Problems in Commutative Ring Theory volume asks this exact question about David's domain.","The proof establishes local Jaffardness at every prime and fully answers the yes-or-no target.","Despite the internal universal quantifier over primes, the theorem concerns one fixed named domain and therefore does not receive the general-scope point.","The prior paper proving that the domain is Jaffard is one partial antecedent; two independent attacks on local Jaffardness and a controlled evaluation are not documented.","The exact 2014 problem was resolved in 2026, an elapsed 12 years or 1.2 decades.",high
9,1,2,0,0,3,Difficult,2017,2026,0.9,0,"Not every integral point on a codimension-three pure ray is realizable over either k[x,y,z] or the enveloping algebra of the Heisenberg Lie algebra.","Question 6.1 in Erman and Sam's 2017 Boij-Soderberg survey states the exact realization question.","The degree sequence (0,6,20,21) with Betti vector (1,2,9,8) is a complete counterexample to the universal realization assertion.","A single explicit degree sequence and integral point supply the disproof, so the separate scope point is not awarded.","The general theory supplies background, but the source does not document two independent attacks on this exact realization question or a controlled low-success test.","The 2017 question was answered in 2026, an elapsed nine years or 0.9 decades, just below the override threshold.",high
