id,prior_target,advance,scope,resistance,score,category,framing_year,solution_year,age_decades,provisional,anchor_claim,prior_rationale,advance_rationale,scope_rationale,resistance_rationale,age_rationale,coding_confidence
21,1,2,1,0,4,"Difficult",2022,2026,0.4,0,"Fel's conjectured syzygy power-sum identity holds for every numerical semigroup and every p >= 0.","Fel stated the exact identity as Conjecture 1 in 2022, before this proof.","The paper proves the conjecture in full rather than treating a special case or numerical sample.","The theorem is uniform over all numerical semigroups and all nonnegative p.","The source trail shows the originating conjecture and related work, but not two independent published attempts at the exact target.","Framed in 2022 and solved in 2026: 4 years = 0.4 decades.","high"
22,1,2,1,0,4,"Difficult",2022,2026,0.4,0,"The parity conjecture for odd k-differentials holds, making the genus-zero and genus-one classification unconditional.","Chen and Gendron stated the exact claim as Conjecture A.10 in 2022.","The result proves the conjecture completely, not merely another genus or stratum subcase.","It applies uniformly to the relevant odd-k differential strata and completes the genus-zero and genus-one classification.","Only the originating paper and related developments were located, not two independent attacks on this exact conjecture.","Framed in 2022 and solved in 2026: 4 years = 0.4 decades.","high"
23,1,0,1,0,2,"Expected",2024,2026,0.2,0,"The asymptotic density of dead ends in base-b multiplication has the stated formula for every base b >= 2.","Miller and collaborators documented the exact quantitative prediction in 2024.","The revised paper acknowledges that Mirsky had already obtained the result in 1947, so the 2026 derivation is a rediscovery rather than a new advance.","The formula is asymptotic and uniform across every integer base b >= 2.","No record of two unsuccessful independent attacks was found; the result was already in the literature.","The modern target was documented in 2024 and revisited in 2026: 2 years = 0.2 decades.","high"
24,0,1,1,0,2,"Expected",,2026,,0,"A density-one family of primes has the paper's partial-regularity property for every alpha > 1/2.","The exact partial-regularity statement is introduced and posed in the same paper; the older Vandiver conjecture is broader and is not this target.","This is a material new partial-regularity theorem, but it does not settle the broader Vandiver problem.","The density-one conclusion is uniform for every alpha > 1/2 rather than being a fixed-prime computation.","No two independent pre-solution attempts at this newly formulated target were available.","There is no pre-existing exact framing year, so the historical-age override does not apply.","high"
13,1,1,1,0,3,"Difficult",1979,2026,4.7,0,"The small-prime-factor extremal function in Erdos problem 684 has polylogarithmic upper growth, with logarithmic lower growth on an infinite sequence.","Erdos posed the exact extremal question in 1979 as the problem now catalogued as number 684.","The paper greatly improves the previous exponent bound and supplies an infinite-sequence lower bound, but it does not determine the final order of growth.","The upper bound is uniform in n and the lower result concerns an infinite asymptotic sequence.","Only one direct prior quantitative attack on the exact target was located; indirect inputs and related problems do not satisfy the two-attempt rule.","Framed in 1979 and advanced in 2026: 47 years = 4.7 decades; the age override is unavailable because the advance is partial.","medium"
14,1,2,1,0,4,"Superhuman",1994,2026,3.2,0,"There exists an additive basis A of order two such that every partition A=A1 union A2 leaves at least one monochromatic sumset Ai+Ai with unbounded gaps.","Burr and Erdos published this exact partition-resistant additive-basis question in 1994.","The explicit construction supplies the requested basis and answers the existence question in full.","The construction is infinite and its guarantee ranges over every partition of the basis.","Erdos reported an unfinished proof, but a second independent attempt at the exact target was not found.","Framed in 1994 and solved in 2026: 32 years = 3.2 decades, satisfying the historical override.","High"
15,1,2,1,1,5,"Superhuman",1964,2026,6.2,0,"For every real alpha, the sequence of prime multiples relevant to Erdos problem 997 is not well distributed.","Erdos formulated the exact universal conjecture in 1964.","The theorem proves the claim for every real alpha, upgrading a known one-alpha existence result to the full conjecture.","The quantifier is uniform over every real alpha rather than a selected witness.","The record contains Erdos's failed or retracted proof attempt and an independent 2024 paper proving a substantial one-alpha subcase.","Framed in 1964 and solved in 2026: 62 years = 6.2 decades, satisfying the historical override.","high"
42,0,1,1,0,2,"Expected",,2026,,0,"The paper establishes its full equilibrium theorem for the Vlasov-Maxwell-Landau system under the stated smoothness hypotheses.","The authors say that this precise theorem did not previously appear in the literature and arose from a question posed during the 2026 project.","It is a substantive new theorem, but not the settlement of a documented pre-existing exact target.","The theorem ranges over all smooth steady states satisfying the hypotheses.","There could not be two independent pre-solution attacks on the newly formulated exact statement.","There is no pre-existing exact framing year, so the historical-age override does not apply.","high"
43,1,2,1,1,5,"Difficult",2024,2026,0.2,0,"The cosmic-string radiation integral I(N, alpha) has an exact solution for arbitrary loop geometry.","Storm and Scherrer isolated the exact integral and target in 2024.","The paper gives the exact arbitrary-geometry solution rather than another parity case or asymptotic approximation.","The expression applies across arbitrary geometry and general N within the model.","The 2024 formulation and a separate 2025 partial or asymptotic treatment provide two independent pre-solution research attempts.","Framed in 2024 and solved in 2026: 2 years = 0.2 decades, below the historical threshold.","high"
16,1,2,1,1,5,"Superhuman",1984,2026,4.2,0,"For every r at least 3 and k at least 4, planar point sets with no k collinear points and no ordinary-line K_r can still have quadratically many ordinary two-point lines.","Erdos asked the exact ordinary-line growth question in 1984.","The construction resolves every nontrivial parameter pair and disproves the proposed subquadratic bound.","The construction is an infinite family uniform over the stated ranges of r and k.","Furedi and Palasti in 1984 and Escudero in 2016 independently developed configurations aimed at this ordinary-line and forbidden-clique frontier.","Framed in 1984 and solved in 2026: 42 years = 4.2 decades, satisfying the historical override.","High"
17,1,2,1,1,5,"Superhuman",1964,2026,6.2,0,"There are coefficient choices whose uniform exponential-sum norm is o(k), with the stated square-root-logarithmic bound.","Erdos asked in 1964 whether the relevant extremal quantity A_k could be o(k).","The construction supplies a sublinear bound and therefore fully answers the yes-or-no target.","It is an asymptotic construction for unbounded k, not a fixed-degree example.","Clunie in 1967 and Liu in 1969 independently established successive bounds on this exact extremal problem.","Framed in 1964 and solved in 2026: 62 years = 6.2 decades, satisfying the historical override.","high"
18,1,2,1,1,5,"Superhuman",1976,2026,5.0,0,"There are arbitrarily large K4-free 4-chromatic graphs whose proper subgraphs are 3-colourable and whose every cycle has at most ten chords.","Erdos posed the unbounded chord-function question in 1976.","The unbounded family with a fixed chord bound gives a complete negative answer.","The construction works as an unbounded family rather than as one graph.","Larson in 1979 and Voss in 1982 made independent progress on successive chord bounds within the same problem line.","Framed in 1976 and solved in 2026: 50 years = 5.0 decades, satisfying the historical override.","High"
19,1,2,1,1,5,"Superhuman",1964,2026,6.2,0,"Explicit sparse polynomials violate the proposed fewnomial Erdos-Turan discrepancy bound for arbitrarily large parameter values.","Erdos stated the exact sparse-polynomial discrepancy conjecture in 1964.","The explicit all-scale family fully disproves the conjectured universal bound.","The counterexamples form an unbounded family indexed by N rather than a single exceptional polynomial.","Hayman's 1972 linear bound and Hrubes's 2013 work on the same sparse-root frontier are independent quantitative attacks preceding the resolution.","Framed in 1964 and solved in 2026: 62 years = 6.2 decades, satisfying the historical override.","high"
20,1,2,1,0,4,"Superhuman",1999,2026,2.7,0,"For every fixed integer a at least 1, only finitely many n make n-a k^2 prime for every admissible k with a k^2<n and gcd(k,n)=1.","The a = 1 case was posed explicitly in the 1999 collection Some of Paul's Favorite Problems.","The theorem settles the original case and proves the stronger statement for every fixed a.","Its conclusion is uniform over the infinite n-range for each fixed a and generalises the original parameter.","Related a = 2 work and one recent partial count do not amount to two independent attacks on the exact target; controlled model trials also had a high solve rate.","Framed in 1999 and solved in 2026: 27 years = 2.7 decades, satisfying the historical override.","High"
3,1,2,0,0,3,"Superhuman",2014,2026,1.2,0,"There exists a Noetherian local ring that is weakly quasi-complete but not quasi-complete.","D. D. Anderson asked in 2014 whether weak quasi-completeness and quasi-completeness coincide for Noetherian local rings.","The constructed counterexample gives a complete negative answer.","The decisive object is a single constructed witness, so this is not a uniform theorem over an unbounded class for the scope signal.","The published formulation establishes the target, but two independent pre-solution attempts on that exact equivalence were not documented.","Framed in 2014 and solved in 2026: 12 years = 1.2 decades, satisfying the historical override.","High"
1,1,2,1,1,5,"Superhuman",1946,2026,8.0,0,"An infinite family of planar point sets has enough unit distances to disprove the n^(1+o(1)) conjecture.","Erdos framed the planar unit-distance problem in 1946, including the asymptotic frontier addressed here.","The infinite counterexample family fully refutes the stated conjectural upper-growth form.","The result is an asymptotic family for unbounded n.","The unchanged benchmark and many independent published attacks over eight decades clearly meet the resistance rule.","Framed in 1946 and solved in 2026: 80 years = 8.0 decades, satisfying the historical override.","high"
10,1,2,0,0,3,"Difficult",2017,2026,0.9,0,"A specific integral degree sequence cannot be realised by the proposed graded-Lie construction, so the universal Boij-Soderberg realisation question has a negative answer.","The exact universal question appears as Question 6.2 in the published 2017 Erman-Sam survey.","One certified counterexample is logically sufficient to settle the universal question in full.","The resolution turns on a single degree sequence and witness obstruction, so the scope signal is zero.","No two independent published attempts at this exact realisation question were located.","The citable problem statement was published in 2017 and solved in 2026: 9 years = 0.9 decades.","medium"
11,1,2,1,1,5,"Difficult",2026,2026,0.0,0,"The bend-and-break constant for the stated foliation setting is exactly r + 1.","Earlier papers established a quantitative sequence of bounds, and the exact optimal-constant target was explicitly raised in January 2026.","The paper proves the sharp constant, which is a final optimum rather than another improvement.","The theorem applies uniformly to all foliations satisfying the hypotheses.","Miyaoka, Shepherd-Barron, and Bogomolov-McQuillan supplied independent successive bounds on the same quantitative frontier.","The exact optimum was framed in 2026 and proved in 2026: 0 years = 0.0 decades.","medium"
